LID,VideoFile,Label,MLabeler,MLabelTime,ProjectID
27,MC16_2__0001_vid__1182__996__2903__360__999.mp4,t,zack-Lenovo-ideapad-Y700-15ISK,26:12.1,MC16_2
28,MC16_2__0001_vid__1221__6259__2946__632__549.mp4,m,zack-Lenovo-ideapad-Y700-15ISK,03:56.1,MC16_2
29,MC16_2__0001_vid__1483__2029__3341__797__519.mp4,f,zack-Lenovo-ideapad-Y700-15ISK,16:25.5,MC16_2
30,MC16_2__0001_vid__1496__606__3362__783__1038.mp4,t,zack-Lenovo-ideapad-Y700-15ISK,12:34.3,MC16_2
31,MC16_2__0001_vid__1560__3247__3446__855__831.mp4,m,zack-Lenovo-ideapad-Y700-15ISK,33:32.9,MC16_2
32,MC16_2__0001_vid__1644__1105__3583__420__597.mp4,t,zack-Lenovo-ideapad-Y700-15ISK,14:34.8,MC16_2
33,MC16_2__0001_vid__1702__1008__3684__786__648.mp4,d,zack-Lenovo-ideapad-Y700-15ISK,57:44.5,MC16_2
34,MC16_2__0001_vid__1712__8881__3709__867__954.mp4,m,zack-Lenovo-ideapad-Y700-15ISK,48:21.4,MC16_2
35,MC16_2__0001_vid__1786__118__3824__341__1179.mp4,x,zack-Lenovo-ideapad-Y700-15ISK,11:44.0,MC16_2
36,MC16_2__0001_vid__1852__1317__3984__708__1024.mp4,c,zack-Lenovo-ideapad-Y700-15ISK,54:25.3,MC16_2
37,MC16_2__0001_vid__1897__1041__4120__749__595.mp4,d,zack-Lenovo-ideapad-Y700-15ISK,13:19.5,MC16_2
38,MC16_2__0001_vid__1900__1854__4137__599__539.mp4,f,zack-Lenovo-ideapad-Y700-15ISK,41:13.4,MC16_2
39,MC16_2__0001_vid__1924__4940__4295__706__923.mp4,m,zack-Lenovo-ideapad-Y700-15ISK,30:21.7,MC16_2
40,MC16_2__0001_vid__1980__546__4665__835__778.mp4,f,zack-Lenovo-ideapad-Y700-15ISK,16:33.5,MC16_2
41,MC16_2__0001_vid__2016__623__4776__808__138.mp4,t,zack-Lenovo-ideapad-Y700-15ISK,15:15.5,MC16_2
42,MC16_2__0001_vid__2051__540__4949__725__916.mp4,d,ipsec-172-16-65-28.vpn.gatech.edu,58:20.4,MC16_2
43,MC16_2__0001_vid__2066__568__5079__812__139.mp4,f,zack-Lenovo-ideapad-Y700-15ISK,27:01.8,MC16_2
44,MC16_2__0001_vid__2080__721__5087__788__923.mp4,s,zack-Lenovo-ideapad-Y700-15ISK,05:15.9,MC16_2
45,MC16_2__0001_vid__2103__4543__5144__543__1057.mp4,p,zack-Lenovo-ideapad-Y700-15ISK,52:05.7,MC16_2
46,MC16_2__0001_vid__2182__4777__5312__761__912.mp4,o,zack-Lenovo-ideapad-Y700-15ISK,53:59.4,MC16_2
47,MC16_2__0001_vid__2193__5052__5336__193__797.mp4,m,zack-Lenovo-ideapad-Y700-15ISK,10:47.8,MC16_2
48,MC16_2__0001_vid__2233__2154__5510__715__1043.mp4,m,zack-Lenovo-ideapad-Y700-15ISK,22:38.7,MC16_2
49,MC16_2__0001_vid__2395__739__6161__714__1157.mp4,x,zack-Lenovo-ideapad-Y700-15ISK,18:22.6,MC16_2
50,MC16_2__0001_vid__2403__581__6174__277__1155.mp4,x,zack-Lenovo-ideapad-Y700-15ISK,40:11.3,MC16_2
51,MC16_2__0001_vid__2453__1492__6325__688__981.mp4,o,zack-Lenovo-ideapad-Y700-15ISK,18:36.0,MC16_2
52,MC16_2__0001_vid__2466__2329__6344__684__902.mp4,o,zack-Lenovo-ideapad-Y700-15ISK,35:43.6,MC16_2
53,MC16_2__0001_vid__2480__2772__6363__802__614.mp4,c,zack-Lenovo-ideapad-Y700-15ISK,40:54.1,MC16_2
54,MC16_2__0001_vid__2509__570__6473__816__1187.mp4,x,zack-Lenovo-ideapad-Y700-15ISK,10:46.7,MC16_2
55,MC16_2__0001_vid__2614__3221__6959__400__1115.mp4,m,zack-Lenovo-ideapad-Y700-15ISK,24:03.6,MC16_2
56,MC16_2__0001_vid__2680__1859__7329__806__881.mp4,f,zack-Lenovo-ideapad-Y700-15ISK,34:45.8,MC16_2
57,MC16_2__0001_vid__2931__1037__8968__308__654.mp4,t,zack-Lenovo-ideapad-Y700-15ISK,09:25.1,MC16_2
58,MC16_2__0001_vid__2992__1021__9082__543__1178.mp4,x,zack-Lenovo-ideapad-Y700-15ISK,30:21.0,MC16_2
59,MC16_2__0001_vid__3048__645__9179__276__570.mp4,d,zack-Lenovo-ideapad-Y700-15ISK,58:52.7,MC16_2
60,MC16_2__0001_vid__3145__1716__9554__734__935.mp4,t,ipsec-172-16-71-221.vpn.gatech.edu,14:35.2,MC16_2
61,MC16_2__0001_vid__3146__1170__9555__828__947.mp4,t,zack-Lenovo-ideapad-Y700-15ISK,54:43.5,MC16_2
62,MC16_2__0001_vid__3161__1311__9601__541__813.mp4,d,zack-Lenovo-ideapad-Y700-15ISK,46:20.5,MC16_2
63,MC16_2__0001_vid__3164__4053__9646__347__1047.mp4,o,zack-Lenovo-ideapad-Y700-15ISK,50:06.4,MC16_2
64,MC16_2__0001_vid__3296__709__10365__254__1114.mp4,d,zack-Lenovo-ideapad-Y700-15ISK,53:25.7,MC16_2
65,MC16_2__0001_vid__3305__5443__10378__502__1110.mp4,p,zack-Lenovo-ideapad-Y700-15ISK,46:34.5,MC16_2
66,MC16_2__0001_vid__3458__1283__10803__864__1031.mp4,t,zack-Lenovo-ideapad-Y700-15ISK,05:32.7,MC16_2
67,MC16_2__0001_vid__3461__108__10801__680__944.mp4,o,zack-Lenovo-ideapad-Y700-15ISK,49:56.6,MC16_2
68,MC16_2__0001_vid__3467__1492__10832__371__540.mp4,d,zack-Lenovo-ideapad-Y700-15ISK,22:13.9,MC16_2
69,MC16_2__0001_vid__3541__1303__10966__488__1058.mp4,p,zack-Lenovo-ideapad-Y700-15ISK,46:53.4,MC16_2
70,MC16_2__0001_vid__3566__1031__11042__708__795.mp4,c,zack-Lenovo-ideapad-Y700-15ISK,39:32.6,MC16_2
71,MC16_2__0001_vid__3567__145__11042__705__735.mp4,o,zack-Lenovo-ideapad-Y700-15ISK,38:39.3,MC16_2
72,MC16_2__0001_vid__3571__159__11046__422__1026.mp4,o,zack-Lenovo-ideapad-Y700-15ISK,33:55.5,MC16_2
73,MC16_2__0001_vid__3631__1950__11103__497__1118.mp4,p,zack-Lenovo-ideapad-Y700-15ISK,56:22.4,MC16_2
74,MC16_2__0001_vid__3641__2079__11110__754__879.mp4,b,zack-Lenovo-ideapad-Y700-15ISK,31:43.3,MC16_2
75,MC16_2__0001_vid__3682__2373__11167__425__769.mp4,c,zack-Lenovo-ideapad-Y700-15ISK,34:06.5,MC16_2
76,MC16_2__0001_vid__3764__1850__11254__532__1110.mp4,p,zack-Lenovo-ideapad-Y700-15ISK,21:45.8,MC16_2
77,MC16_2__0001_vid__3805__783__11462__856__530.mp4,d,zack-Lenovo-ideapad-Y700-15ISK,03:58.5,MC16_2
78,MC16_2__0001_vid__3845__1897__11700__142__951.mp4,o,zack-Lenovo-ideapad-Y700-15ISK,48:03.4,MC16_2
79,MC16_2__0001_vid__3948__3409__12405__542__1119.mp4,m,zack-Lenovo-ideapad-Y700-15ISK,37:23.8,MC16_2
80,MC16_2__0001_vid__4118__1076__13100__472__855.mp4,c,zack-Lenovo-ideapad-Y700-15ISK,46:16.8,MC16_2
81,MC16_2__0001_vid__4119__1307__13101__723__998.mp4,p,zack-Lenovo-ideapad-Y700-15ISK,37:13.7,MC16_2
82,MC16_2__0001_vid__4188__252__13168__510__1017.mp4,s,zack-Lenovo-ideapad-Y700-15ISK,34:14.1,MC16_2
83,MC16_2__0001_vid__4308__1234__13396__283__1115.mp4,c,zack-Lenovo-ideapad-Y700-15ISK,49:09.8,MC16_2
84,MC16_2__0001_vid__4328__3485__13442__622__984.mp4,p,zack-Lenovo-ideapad-Y700-15ISK,21:37.1,MC16_2
85,MC16_2__0001_vid__4342__9378__13467__352__1010.mp4,o,zack-Lenovo-ideapad-Y700-15ISK,05:42.9,MC16_2
86,MC16_2__0001_vid__4486__6710__13657__501__976.mp4,b,zack-Lenovo-ideapad-Y700-15ISK,08:57.6,MC16_2
87,MC16_2__0001_vid__4513__685__13681__732__1026.mp4,p,zack-Lenovo-ideapad-Y700-15ISK,33:51.5,MC16_2
88,MC16_2__0001_vid__4542__822__13745__667__1086.mp4,p,zack-Lenovo-ideapad-Y700-15ISK,50:36.3,MC16_2
89,MC16_2__0001_vid__4652__2389__13869__533__735.mp4,c,zack-Lenovo-ideapad-Y700-15ISK,02:04.0,MC16_2
90,MC16_2__0001_vid__4805__335__14047__718__963.mp4,o,zack-Lenovo-ideapad-Y700-15ISK,08:19.6,MC16_2
91,MC16_2__0001_vid__4816__625__14072__756__1123.mp4,p,zack-Lenovo-ideapad-Y700-15ISK,41:01.9,MC16_2
92,MC16_2__0001_vid__4876__4795__14156__760__842.mp4,b,zack-Lenovo-ideapad-Y700-15ISK,38:54.5,MC16_2
93,MC16_2__0001_vid__4922__123__14221__703__1087.mp4,o,zack-Lenovo-ideapad-Y700-15ISK,08:27.5,MC16_2
94,MC16_2__0001_vid__4932__2399__14232__583__1107.mp4,s,zack-Lenovo-ideapad-Y700-15ISK,55:19.8,MC16_2
95,MC16_2__0001_vid__4968__1252__14261__464__939.mp4,s,zack-Lenovo-ideapad-Y700-15ISK,36:36.7,MC16_2
96,MC16_2__0001_vid__5033__973__14321__720__985.mp4,o,zack-Lenovo-ideapad-Y700-15ISK,06:04.8,MC16_2
97,MC16_2__0001_vid__5052__2406__14342__311__907.mp4,o,zack-Lenovo-ideapad-Y700-15ISK,19:58.4,MC16_2
98,MC16_2__0001_vid__5072__693__14365__561__722.mp4,o,zack-Lenovo-ideapad-Y700-15ISK,20:36.6,MC16_2
99,MC16_2__0001_vid__5130__324__14414__658__948.mp4,s,zack-Lenovo-ideapad-Y700-15ISK,48:02.2,MC16_2
100,MC16_2__0001_vid__5133__8133__14415__553__1104.mp4,s,zack-Lenovo-ideapad-Y700-15ISK,34:14.5,MC16_2
101,MC16_2__0001_vid__5202__950__14502__719__890.mp4,s,zack-Lenovo-ideapad-Y700-15ISK,30:09.7,MC16_2
102,MC16_2__0001_vid__5229__502__14533__599__1105.mp4,s,zack-Lenovo-ideapad-Y700-15ISK,32:26.1,MC16_2
103,MC16_2__0001_vid__5292__3136__14656__423__832.mp4,c,zack-Lenovo-ideapad-Y700-15ISK,31:56.5,MC16_2
104,MC16_2__0001_vid__5302__4077__14661__735__614.mp4,c,zack-Lenovo-ideapad-Y700-15ISK,45:03.3,MC16_2
105,MC16_2__0001_vid__5311__661__14676__740__1081.mp4,p,zack-Lenovo-ideapad-Y700-15ISK,49:26.0,MC16_2
106,MC16_2__0001_vid__5385__657__14839__759__867.mp4,t,zack-Lenovo-ideapad-Y700-15ISK,05:58.9,MC16_2
107,MC16_2__0001_vid__5455__861__14956__691__777.mp4,s,zack-Lenovo-ideapad-Y700-15ISK,48:51.9,MC16_2
108,MC16_2__0001_vid__5541__4353__15078__634__797.mp4,b,zack-Lenovo-ideapad-Y700-15ISK,22:30.7,MC16_2
109,MC16_2__0001_vid__5542__3604__15079__658__1111.mp4,b,zack-Lenovo-ideapad-Y700-15ISK,34:08.5,MC16_2
110,MC16_2__0001_vid__5585__2490__15184__580__731.mp4,c,zack-Lenovo-ideapad-Y700-15ISK,20:07.2,MC16_2
111,MC16_2__0001_vid__5623__3052__15250__696__647.mp4,c,zack-Lenovo-ideapad-Y700-15ISK,04:45.3,MC16_2
112,MC16_2__0001_vid__5642__2050__15272__823__1006.mp4,b,zack-Lenovo-ideapad-Y700-15ISK,52:48.5,MC16_2
113,MC16_2__0001_vid__5654__6173__15287__619__728.mp4,c,zack-Lenovo-ideapad-Y700-15ISK,55:46.3,MC16_2
114,MC16_2__0001_vid__5662__5194__15291__535__1107.mp4,b,zack-Lenovo-ideapad-Y700-15ISK,28:13.4,MC16_2
115,MC16_2__0001_vid__5714__3891__15371__468__1044.mp4,p,zack-Lenovo-ideapad-Y700-15ISK,15:29.1,MC16_2
116,MC16_2__0001_vid__5942__915__15754__805__1119.mp4,p,zack-Lenovo-ideapad-Y700-15ISK,05:02.6,MC16_2
117,MC16_2__0001_vid__5953__1453__15769__539__827.mp4,c,zack-Lenovo-ideapad-Y700-15ISK,47:26.3,MC16_2
118,MC16_2__0001_vid__5994__1702__15792__650__797.mp4,c,zack-Lenovo-ideapad-Y700-15ISK,17:06.4,MC16_2
119,MC16_2__0001_vid__6014__2283__15813__390__935.mp4,c,zack-Lenovo-ideapad-Y700-15ISK,35:15.1,MC16_2
120,MC16_2__0001_vid__6092__130__15892__779__794.mp4,o,zack-Lenovo-ideapad-Y700-15ISK,21:08.0,MC16_2
121,MC16_2__0001_vid__6287__99__16109__578__812.mp4,o,zack-Lenovo-ideapad-Y700-15ISK,48:43.5,MC16_2
122,MC16_2__0001_vid__6323__3520__16200__682__832.mp4,c,zack-Lenovo-ideapad-Y700-15ISK,30:44.1,MC16_2
123,MC16_2__0001_vid__6357__2666__16236__712__630.mp4,c,zack-Lenovo-ideapad-Y700-15ISK,09:59.4,MC16_2
124,MC16_2__0001_vid__6534__4760__16521__649__390.mp4,c,zack-Lenovo-ideapad-Y700-15ISK,05:20.8,MC16_2
125,MC16_2__0001_vid__6593__281__16573__727__875.mp4,s,zack-Lenovo-ideapad-Y700-15ISK,28:05.3,MC16_2
126,MC16_2__0001_vid__6718__1621__16704__817__1048.mp4,s,zack-Lenovo-ideapad-Y700-15ISK,13:45.1,MC16_2
127,MC16_2__0001_vid__6766__506__16751__656__940.mp4,s,zack-Lenovo-ideapad-Y700-15ISK,48:15.0,MC16_2
128,MC16_2__0001_vid__6937__414__16993__630__1014.mp4,s,zack-Lenovo-ideapad-Y700-15ISK,05:54.1,MC16_2
129,MC16_2__0001_vid__6975__217__17098__647__1055.mp4,s,zack-Lenovo-ideapad-Y700-15ISK,25:14.1,MC16_2
130,MC16_2__0001_vid__7221__1656__17546__733__1046.mp4,s,zack-Lenovo-ideapad-Y700-15ISK,15:46.1,MC16_2
131,MC16_2__0001_vid__7232__1687__17570__495__524.mp4,o,zack-Lenovo-ideapad-Y700-15ISK,48:22.4,MC16_2
132,MC16_2__0001_vid__7245__1414__17604__649__921.mp4,c,zack-Lenovo-ideapad-Y700-15ISK,38:18.7,MC16_2
133,MC16_2__0001_vid__7272__5354__17677__675__803.mp4,b,zack-Lenovo-ideapad-Y700-15ISK,48:32.6,MC16_2
134,MC16_2__0001_vid__7387__1768__17791__333__194.mp4,c,zack-Lenovo-ideapad-Y700-15ISK,58:32.3,MC16_2
135,MC16_2__0001_vid__7412__2184__17823__422__832.mp4,c,zack-Lenovo-ideapad-Y700-15ISK,03:38.9,MC16_2
136,MC16_2__0001_vid__7522__168__17946__798__1109.mp4,p,zack-Lenovo-ideapad-Y700-15ISK,35:40.2,MC16_2
137,MC16_2__0001_vid__7559__1875__18001__714__660.mp4,c,zack-Lenovo-ideapad-Y700-15ISK,08:01.4,MC16_2
138,MC16_2__0001_vid__7566__3598__18015__493__1040.mp4,c,ipsec-172-16-65-28.vpn.gatech.edu,58:04.2,MC16_2
139,MC16_2__0001_vid__7590__272__18033__706__975.mp4,o,zack-Lenovo-ideapad-Y700-15ISK,41:41.9,MC16_2
140,MC16_2__0001_vid__7634__1424__18074__781__773.mp4,c,zack-Lenovo-ideapad-Y700-15ISK,49:40.8,MC16_2
141,MC16_2__0001_vid__7641__1770__18078__721__711.mp4,c,zack-Lenovo-ideapad-Y700-15ISK,07:37.5,MC16_2
142,MC16_2__0001_vid__7716__1532__18181__708__1117.mp4,s,zack-Lenovo-ideapad-Y700-15ISK,56:19.8,MC16_2
143,MC16_2__0001_vid__7780__938__18225__618__1025.mp4,s,zack-Lenovo-ideapad-Y700-15ISK,16:13.0,MC16_2
144,MC16_2__0001_vid__7782__949__18225__631__899.mp4,s,zack-Lenovo-ideapad-Y700-15ISK,53:09.2,MC16_2
145,MC16_2__0001_vid__7815__2790__18289__505__846.mp4,c,zack-Lenovo-ideapad-Y700-15ISK,58:48.9,MC16_2
146,MC16_2__0001_vid__7927__1991__18421__682__812.mp4,s,zack-Lenovo-ideapad-Y700-15ISK,39:43.5,MC16_2
147,MC16_2__0001_vid__7953__1318__18448__648__1101.mp4,s,zack-Lenovo-ideapad-Y700-15ISK,38:44.6,MC16_2
148,MC16_2__0001_vid__7997__151__18487__587__1011.mp4,s,zack-Lenovo-ideapad-Y700-15ISK,40:58.3,MC16_2
149,MC16_2__0001_vid__8028__932__18545__754__1033.mp4,s,zack-Lenovo-ideapad-Y700-15ISK,36:32.0,MC16_2
150,MC16_2__0001_vid__8046__1484__18555__808__1120.mp4,s,zack-Lenovo-ideapad-Y700-15ISK,43:31.0,MC16_2
151,MC16_2__0001_vid__8064__103__18564__788__1113.mp4,s,zack-Lenovo-ideapad-Y700-15ISK,33:42.6,MC16_2
152,MC16_2__0001_vid__8176__3212__18742__561__784.mp4,c,zack-Lenovo-ideapad-Y700-15ISK,29:24.8,MC16_2
153,MC16_2__0001_vid__8209__375__18797__575__1049.mp4,o,zack-Lenovo-ideapad-Y700-15ISK,03:33.2,MC16_2
154,MC16_2__0001_vid__8245__605__18897__622__776.mp4,s,zack-Lenovo-ideapad-Y700-15ISK,48:00.1,MC16_2
155,MC16_2__0001_vid__8267__883__18919__728__988.mp4,s,zack-Lenovo-ideapad-Y700-15ISK,32:19.0,MC16_2
156,MC16_2__0001_vid__8292__3044__18936__833__1015.mp4,s,zack-Lenovo-ideapad-Y700-15ISK,04:20.8,MC16_2
157,MC16_2__0001_vid__8488__160__19173__595__966.mp4,s,zack-Lenovo-ideapad-Y700-15ISK,56:18.1,MC16_2
158,MC16_2__0001_vid__8567__616__19340__725__971.mp4,s,zack-Lenovo-ideapad-Y700-15ISK,13:58.6,MC16_2
159,MC16_2__0001_vid__8612__3641__19437__706__761.mp4,c,zack-Lenovo-ideapad-Y700-15ISK,10:55.5,MC16_2
160,MC16_2__0001_vid__8651__3223__19489__868__967.mp4,s,zack-Lenovo-ideapad-Y700-15ISK,38:05.5,MC16_2
161,MC16_2__0001_vid__8802__133__19681__557__717.mp4,o,zack-Lenovo-ideapad-Y700-15ISK,47:16.0,MC16_2
162,MC16_2__0001_vid__8811__1173__19694__551__826.mp4,s,zack-Lenovo-ideapad-Y700-15ISK,51:05.1,MC16_2
163,MC16_2__0001_vid__8911__728__19813__506__834.mp4,s,zack-Lenovo-ideapad-Y700-15ISK,05:31.2,MC16_2
164,MC16_2__0001_vid__8944__830__19880__726__830.mp4,s,zack-Lenovo-ideapad-Y700-15ISK,50:17.6,MC16_2
165,MC16_2__0001_vid__8965__576__19909__796__591.mp4,o,zack-Lenovo-ideapad-Y700-15ISK,14:26.8,MC16_2
166,MC16_2__0001_vid__9061__1021__20079__581__929.mp4,s,zack-Lenovo-ideapad-Y700-15ISK,01:42.8,MC16_2
167,MC16_2__0001_vid__9356__1587__20800__654__771.mp4,s,zack-Lenovo-ideapad-Y700-15ISK,38:17.5,MC16_2
168,MC16_2__0001_vid__9379__122__20833__580__944.mp4,s,zack-Lenovo-ideapad-Y700-15ISK,11:27.5,MC16_2
169,MC16_2__0001_vid__9381__470__20833__681__1088.mp4,s,zack-Lenovo-ideapad-Y700-15ISK,50:40.6,MC16_2
170,MC16_2__0001_vid__9427__3693__20919__535__848.mp4,c,zack-Lenovo-ideapad-Y700-15ISK,12:54.7,MC16_2
171,MC16_2__0001_vid__9448__3212__20948__738__1006.mp4,s,zack-Lenovo-ideapad-Y700-15ISK,28:42.4,MC16_2
172,MC16_2__0001_vid__9494__1059__21020__845__968.mp4,p,zack-Lenovo-ideapad-Y700-15ISK,39:44.5,MC16_2
173,MC16_2__0001_vid__9534__2092__21073__450__854.mp4,c,zack-Lenovo-ideapad-Y700-15ISK,50:25.6,MC16_2
174,MC16_2__0001_vid__9589__872__21135__871__1125.mp4,x,zack-Lenovo-ideapad-Y700-15ISK,27:21.6,MC16_2
175,MC16_2__0001_vid__9591__2528__21136__545__851.mp4,c,zack-Lenovo-ideapad-Y700-15ISK,03:42.7,MC16_2
176,MC16_2__0001_vid__9609__3380__21155__748__495.mp4,c,zack-Lenovo-ideapad-Y700-15ISK,25:22.2,MC16_2
177,MC16_2__0001_vid__9638__768__21184__675__1129.mp4,p,zack-Lenovo-ideapad-Y700-15ISK,14:44.0,MC16_2
178,MC16_2__0001_vid__9753__6825__21373__791__590.mp4,b,zack-Lenovo-ideapad-Y700-15ISK,01:28.1,MC16_2
179,MC16_2__0001_vid__9767__2340__21382__530__820.mp4,c,zack-Lenovo-ideapad-Y700-15ISK,03:39.3,MC16_2
180,MC16_2__0001_vid__9897__1269__21530__842__600.mp4,c,zack-Lenovo-ideapad-Y700-15ISK,53:01.8,MC16_2
181,MC16_2__0001_vid__9939__3083__21568__442__745.mp4,c,zack-Lenovo-ideapad-Y700-15ISK,04:49.2,MC16_2
182,MC16_2__0001_vid__9961__7503__21586__429__1036.mp4,c,zack-Lenovo-ideapad-Y700-15ISK,50:12.1,MC16_2
183,MC16_2__0001_vid__10034__1029__21663__581__821.mp4,c,zack-Lenovo-ideapad-Y700-15ISK,56:29.9,MC16_2
184,MC16_2__0001_vid__10091__2352__21715__849__616.mp4,c,zack-Lenovo-ideapad-Y700-15ISK,16:55.3,MC16_2
185,MC16_2__0001_vid__10192__5052__21809__224__669.mp4,c,zack-Lenovo-ideapad-Y700-15ISK,52:38.9,MC16_2
186,MC16_2__0001_vid__10277__2128__21918__594__1118.mp4,p,zack-Lenovo-ideapad-Y700-15ISK,43:14.8,MC16_2
187,MC16_2__0001_vid__10303__2591__21938__700__679.mp4,c,zack-Lenovo-ideapad-Y700-15ISK,16:49.8,MC16_2
188,MC16_2__0001_vid__10310__3675__21942__544__762.mp4,b,zack-Lenovo-ideapad-Y700-15ISK,07:48.1,MC16_2
189,MC16_2__0001_vid__10423__3167__22067__847__1107.mp4,p,zack-Lenovo-ideapad-Y700-15ISK,55:59.7,MC16_2
190,MC16_2__0001_vid__10436__3063__22074__753__528.mp4,c,zack-Lenovo-ideapad-Y700-15ISK,05:20.5,MC16_2
191,MC16_2__0001_vid__10457__4510__22190__779__947.mp4,c,zack-Lenovo-ideapad-Y700-15ISK,10:43.5,MC16_2
192,MC16_2__0001_vid__10596__4252__22736__812__627.mp4,c,zack-Lenovo-ideapad-Y700-15ISK,50:50.8,MC16_2
193,MC16_2__0001_vid__10666__8683__22835__748__565.mp4,b,zack-Lenovo-ideapad-Y700-15ISK,04:15.1,MC16_2
194,MC16_2__0001_vid__10713__2232__22912__723__536.mp4,c,zack-Lenovo-ideapad-Y700-15ISK,46:24.0,MC16_2
195,MC16_2__0001_vid__10726__1182__22925__783__1087.mp4,o,zack-Lenovo-ideapad-Y700-15ISK,44:34.5,MC16_2
196,MC16_2__0001_vid__10728__3877__22930__408__800.mp4,c,zack-Lenovo-ideapad-Y700-15ISK,11:41.9,MC16_2
197,MC16_2__0001_vid__10741__3980__22948__579__924.mp4,c,zack-Lenovo-ideapad-Y700-15ISK,47:24.0,MC16_2
198,MC16_2__0001_vid__10745__1863__22954__828__1127.mp4,p,zack-Lenovo-ideapad-Y700-15ISK,33:59.6,MC16_2
199,MC16_2__0001_vid__10754__4646__22969__521__727.mp4,c,zack-Lenovo-ideapad-Y700-15ISK,43:11.1,MC16_2
200,MC16_2__0001_vid__10765__95__22984__809__1035.mp4,o,zack-Lenovo-ideapad-Y700-15ISK,36:28.4,MC16_2
201,MC16_2__0001_vid__10770__6225__22997__813__637.mp4,b,zack-Lenovo-ideapad-Y700-15ISK,05:09.2,MC16_2
202,MC16_2__0001_vid__10812__2541__23046__552__892.mp4,c,zack-Lenovo-ideapad-Y700-15ISK,50:16.8,MC16_2
203,MC16_2__0001_vid__10867__769__23101__829__1134.mp4,p,zack-Lenovo-ideapad-Y700-15ISK,43:07.7,MC16_2
204,MC16_2__0001_vid__10944__2467__23227__605__690.mp4,c,zack-Lenovo-ideapad-Y700-15ISK,37:45.5,MC16_2
